match_id,date,stage,group,team,opponent,goals_scored,goals_conceded,result,is_home,venue_country
537327,2026-06-11,GROUP_STAGE,GROUP_A,Mexico,South Africa,2.0,0.0,W,True,Unknown
537327,2026-06-11,GROUP_STAGE,GROUP_A,South Africa,Mexico,0.0,2.0,L,False,Unknown
537328,2026-06-12,GROUP_STAGE,GROUP_A,South Korea,Czechia,2.0,1.0,W,True,Unknown
537328,2026-06-12,GROUP_STAGE,GROUP_A,Czechia,South Korea,1.0,2.0,L,False,Unknown
537333,2026-06-12,GROUP_STAGE,GROUP_B,Canada,Bosnia-Herzegovina,1.0,1.0,D,True,Unknown
537333,2026-06-12,GROUP_STAGE,GROUP_B,Bosnia-Herzegovina,Canada,1.0,1.0,D,False,Unknown
537345,2026-06-13,GROUP_STAGE,GROUP_D,United States,Paraguay,4.0,1.0,W,True,Unknown
537345,2026-06-13,GROUP_STAGE,GROUP_D,Paraguay,United States,1.0,4.0,L,False,Unknown
537334,2026-06-13,GROUP_STAGE,GROUP_B,Qatar,Switzerland,1.0,1.0,D,True,Unknown
537334,2026-06-13,GROUP_STAGE,GROUP_B,Switzerland,Qatar,1.0,1.0,D,False,Unknown
537339,2026-06-13,GROUP_STAGE,GROUP_C,Brazil,Morocco,1.0,1.0,D,True,Unknown
537339,2026-06-13,GROUP_STAGE,GROUP_C,Morocco,Brazil,1.0,1.0,D,False,Unknown
537340,2026-06-14,GROUP_STAGE,GROUP_C,Haiti,Scotland,0.0,1.0,L,True,Unknown
537340,2026-06-14,GROUP_STAGE,GROUP_C,Scotland,Haiti,1.0,0.0,W,False,Unknown
537346,2026-06-14,GROUP_STAGE,GROUP_D,Australia,Turkey,2.0,0.0,W,True,Unknown
537346,2026-06-14,GROUP_STAGE,GROUP_D,Turkey,Australia,0.0,2.0,L,False,Unknown
537351,2026-06-14,GROUP_STAGE,GROUP_E,Germany,Curaçao,7.0,1.0,W,True,Unknown
537351,2026-06-14,GROUP_STAGE,GROUP_E,Curaçao,Germany,1.0,7.0,L,False,Unknown
